Fonds de teint : 
"Aperçu rapideArmani BeautyFond de teint sans huile éclat parfait Luminous Silk55,00 $ - 82,00 $51 plus de couleurss3.6K"
"Aperçu rapideExclusivité SephoraFENTY BEAUTY by RihannaFond de teint satiné longue tenue Pro Filt’r47,00 $49 plus de couleurss16.1K"
"Aperçu rapideNOUVEAUTÉKVD BeautyBaume fond de teint hydratant perfecteur de teint Good Apple51,00 $39 plus de couleurss903"
"Aperçu rapideNOUVEAUTÉExclusivité SephoraFENTY BEAUTY by RihannaTeinte floutante pour la peau Eaze Drop Skin39,00 $24 plus de couleurss662"
"Aperçu rapideEstée LauderFond de teint Double Wear Stay-in-Place54,00 $55 plus de couleurss6.5K"
"Aperçu rapideNOUVEAUTÉExclusivité SephoraONE/SIZE by Patrick StarrrFond de teint en poudre polyvalent Turn Up The Base43,00 $31 plus de couleurss385"
"Aperçu rapideExclusivité SephoraMAKE UP FOR EVERFond de teint couvrance invisible Ultra HD55,00 $48 plus de couleurss10.1K"
"Aperçu rapideLancômeFond de teint ultra longue tenue Teint Idole62,00 $44 plus de couleurss4.9K"
"Aperçu rapideNARSFond de teint longue tenue éclatant naturel63,00 $31 plus de couleurss3.4K"
"Aperçu rapideNARSFond de teint éclat translucide61,00 $39 plus de couleurss5.1K"
"Aperçu rapideToo FacedFond de teint Born This Way52,00 $29 plus de couleurss10K"
"Aperçu rapideDiorFond de teint en vaporisateur Airflash de Dior78,00 $23 plus de couleurss3.9K"
"Aperçu rapideCLINIQUEPoudre pressée diaphane mate longue tenue40,00 $11 plus de couleurss1.4K"
"Aperçu rapideIT CosmeticsCrème correctrice neutralisante Bye Bye Redness™45,00 $2 plus de couleurss844"
"Aperçu rapideEstée LauderFond de teint hydratant Futurist Hydra Rescue avec FPS 4557,00 $25 plus de couleurss404"
"Aperçu rapideIT CosmeticsFond de teint + soin de la peau Your Skin But Better52,00 $39 plus de couleurss423"
"Aperçu rapiderms beautyAnticernes « Un » Cover-Up fini naturel48,00 $15 plus de couleurss795"
"Aperçu rapideToo FacedFond de teint poudre Born This Way49,00 $18 plus de couleurss193"
"Aperçu rapidebareMineralsbareMinerals Original Foundation Broad Spectrum SPF 1538,00 $29 plus de couleurss19.3K"
"Aperçu rapideIT CosmeticsCrème CC+™ mate sans huile avec FPS 40 Your Skin But Better™52,00 $11 plus de couleurss290"
"Aperçu rapideIT CosmeticsCrème CC+Illumination(MC) avec FPS 50+ Your Skin But Better CC+52,00 $11 plus de couleurss297"
"Aperçu rapideSmashboxHydratant teinté Healthy Glow Halo avec FPS 25 à large spectre48,00 $11 plus de couleurss511"
"Aperçu rapideDiorFond de teint poudre mat perfecteur Diorskin Forever72,00 $7 plus de couleurss448"
"Aperçu rapideExclusivité SephoraMAKE UP FOR EVERPalette de fond de teint crème couvrance invisible Ultra HD144,00 $29"
"Aperçu rapideDiorDior Forever Skin Glow Teint tenue 24h* perfection & éclat sublimateur de peau65,00 $23 plus de couleurss90"
"Aperçu rapideExclusivité SephoraDanessa Myricks BeautyAnticernes et fond de teint ajustables Vision Cream Cover29,00 $22 plus de couleurss80"
"Aperçu rapideGuerlainFond de teint éclat naturel L'Essentiel69,00 $29 plus de couleurss678"
"Aperçu rapideJosie MaranFond de teint fluide à l’huile d’argan Vibrancy59,00 $3 plus de couleurss1.7K"
"Aperçu rapideShiseidoFond de teint poudre à finition personnalisée Synchro Skin60,00 $15 plus de couleurss1.2K"
"Aperçu rapideExclusivité SephoraMILK MAKEUPFond de teint pur et sain Sunshine Skin Tint56,00 $13 plus de couleurss21"
"Aperçu rapideExclusivité SephoraLANEIGECoussin BB Hydra Éclat FPS 5050,00 $3 plus de couleurss1.2K"
"Aperçu rapideEstée LauderFond de teint Double Wear Stay-in-Place à pompe14,00 $108"
"Aperçu rapideSérie limitéeFENTY BEAUTY by RihannaEssentiels pour un teint hydraté109,00 $ (135,00 $ value)24"
"Aperçu rapideBobbi BrownFond de teint poudre fluide longue tenue FPS 2055,00 $27 plus de couleurss105"
"Aperçu rapidetarteBase BB teintée 12 heures48,00 $8 plus de couleurss220"
"Aperçu rapideExclusivité SephoraMorpheTeinte pour la peau Hint Hint Morphe 224,00 $19 plus de couleurss94"
"Aperçu rapideSmashboxFond de teint hydratant sans huile 24 heures Studio Skin48,00 $38 plus de couleurss3.1K"
"Aperçu rapideExclusivité SephoraMILK MAKEUPFond de teint en bâton Flex48,00 $35 plus de couleurss1.1K"
"Aperçu rapiderms beautyAnticernes « Un » Cover-Up fini naturel48,00 $15 plus de couleurss795"
"Aperçu rapidetarteAmazonian Clay BB Tinted Moisturizer48,00 $3 plus de couleurss27"
"Aperçu rapideDiorCapture Dreamskin Fresh et Perfect Cushion98,00 $4 plus de couleurss31"
"Aperçu rapideBobbi BrownFond de teint en bâton62,00 $28 plus de couleurss1.2K"
"Aperçu rapideSérie limitéeFENTY BEAUTY by RihannaEssentiels pour un teint hydraté109,00 $ (135,00 $ value)24"
"Aperçu rapideCLINIQUEFond de teint liquide solution contre l’acné40,00 $3 plus de couleurss1.5K"
"Aperçu rapideBECCA CosmeticsFond de teint Zero No Pigment47,00 $599"
"Aperçu rapideCLINIQUEMaquillage double face super-poudre40,00 $5 plus de couleurss689"
"Aperçu rapideEn ligne seulementWander BeautyFond de teint poudre Wanderlust53,00 $11 plus de couleurss266"
"Aperçu rapideNatasha DenonaFond de teint mat effaceur de pores Transformatte60,00 $19 plus de couleurss120"
